單詞,idf
n年,9.165647925297504
植重,9.165647925297504
海平面,9.165647925297504
海力士,9.165647925297504
浴簾,9.165647925297504
浴巾,9.165647925297504
流水,9.165647925297504
流感,9.165647925297504
洞口,9.165647925297504
洗褲,9.165647925297504
洗衣,9.165647925297504
泳衣,9.165647925297504
泳圈,9.165647925297504
泥土路,9.165647925297504
泥凝,9.165647925297504
泡腳,9.165647925297504
法律,9.165647925297504
法式,9.165647925297504
泊位,9.165647925297504
油路,9.165647925297504
油蔥,9.165647925297504
油帶,9.165647925297504
沙會,9.165647925297504
海棉,9.165647925297504
海草,9.165647925297504
消夜,9.165647925297504
溪谷,9.165647925297504
濕度,9.165647925297504
澡間,9.165647925297504
漏雨,9.165647925297504
滿格,9.165647925297504
滿會,9.165647925297504
滴兒,9.165647925297504
滑面,9.165647925297504
滑水,9.165647925297504
溫槍,9.165647925297504
溪口,9.165647925297504
消息,9.165647925297504
游泳圈,9.165647925297504
清空,9.165647925297504
淺眠者,9.165647925297504
深思,9.165647925297504
淤泥,9.165647925297504
液白,9.165647925297504
液和點,9.165647925297504
消毒液,9.165647925297504
消毒水,9.165647925297504
沙堆,9.165647925297504
沙圍,9.165647925297504
水草,9.165647925297504
橘色,9.165647925297504
母狗,9.165647925297504
死路,9.165647925297504
死台,9.165647925297504
歐兜,9.165647925297504
歐下,9.165647925297504
歌唱,9.165647925297504
檔衝,9.165647925297504
橫架,9.165647925297504
機呼,9.165647925297504
橘園,9.165647925297504
比人,9.165647925297504
樹跟,9.165647925297504
樹與樹,9.165647925297504
樹燈,9.165647925297504
樹會,9.165647925297504
樹擋,9.165647925297504
樹下區,9.165647925297504
樂頭,9.165647925297504
樂情,9.165647925297504
椿象,9.165647925297504
毒物,9.165647925297504
比列,9.165647925297504
水花,9.165647925297504
水塘,9.165647925297504
水筒,9.165647925297504
水略,9.165647925297504
水潤,9.165647925297504
水滴,9.165647925297504
水深,9.165647925297504
水浴,9.165647925297504
水泡,9.165647925297504
水景,9.165647925297504
水性,9.165647925297504
水土,9.165647925297504
毛孩子,9.165647925297504
水台,9.165647925297504
水凍,9.165647925297504
水值,9.165647925297504
水位,9.165647925297504
氣芬,9.165647925297504
氣柱,9.165647925297504
民眾,9.165647925297504
民家,9.165647925297504
毛病,9.165647925297504
濕機,9.165647925297504
濕潤,9.165647925297504
灣口,9.165647925297504
爬險,9.165647925297504
玩區,9.165647925297504
玉蜀黍,9.165647925297504
狗兒,9.165647925297504
狂會車,9.165647925297504
牽繩,9.165647925297504
特性,9.165647925297504
物桌,9.165647925297504
牛蛙,9.165647925297504
版主,9.165647925297504
爐台,9.165647925297504
玩家,9.165647925297504
爆櫃,9.165647925297504
爆桶,9.165647925297504
營錘,9.165647925297504
營車,9.165647925297504
營規,9.165647925297504
營能,9.165647925297504
營棧,9.165647925297504
營方,9.165647925297504
營指,9.165647925297504
玩吧,9.165647925297504
玩滑草,9.165647925297504
營区,9.165647925297504
環景,9.165647925297504
生疏,9.165647925297504
生活用品,9.165647925297504
生手,9.165647925297504
生平,9.165647925297504
甜香,9.165647925297504
甜橘,9.165647925297504
甜柿,9.165647925297504
甜度,9.165647925297504
環靜,9.165647925297504
瑕疵,9.165647925297504
玩物,9.165647925297504
理念,9.165647925297504
理家,9.165647925297504
理台,9.165647925297504
球具,9.165647925297504
現摘,9.165647925297504
班表,9.165647925297504
珐瑯,9.165647925297504
玻璃,9.165647925297504
环境,9.165647925297504
營場,9.165647925297504
營主騎,9.165647925297504
火把,9.165647925297504
煙頭,9.165647925297504
燒蕃麥,9.165647925297504
燈用,9.165647925297504
燈炮,9.165647925297504
燈海,9.165647925297504
燈亮,9.165647925297504
燃料,9.165647925297504
熱營,9.165647925297504
熟客,9.165647925297504
照料,9.165647925297504
煙區,9.165647925297504
營丁人,9.165647925297504
無尿味,9.165647925297504
烤餐,9.165647925297504
烤箱,9.165647925297504
烤區,9.165647925297504
炮竹,9.165647925297504
炎炎夏日,9.165647925297504
炎炎,9.165647925297504
火速,9.165647925297504
火蟲,9.165647925297504
營丁,9.165647925297504
營主勤,9.165647925297504
營主逐區,9.165647925297504
營主波,9.165647925297504
營主跟,9.165647925297504
營主賴,9.165647925297504
營主谷,9.165647925297504
營主親,9.165647925297504
營主算,9.165647925297504
營主站,9.165647925297504
營主種,9.165647925297504
營主租帳,9.165647925297504
營主浴,9.165647925297504
營主氣,9.165647925297504
營主向,9.165647925297504
營主棒,9.165647925297504
營主柴,9.165647925297504
營主才,9.165647925297504
營主所,9.165647925297504
營主戒,9.165647925297504
營主想,9.165647925297504
營主家,9.165647925297504
營主媽,9.165647925297504
營主女,9.165647925297504
椴木,9.165647925297504
植被,9.165647925297504
廁近,9.165647925297504
植落,9.165647925297504
搭件,9.165647925297504
插電,9.165647925297504
控場,9.165647925297504
接球,9.165647925297504
接收器,9.165647925297504
探路,9.165647925297504
探帳,9.165647925297504
採蜜,9.165647925297504
採橘,9.165647925297504
挑毛病,9.165647925297504
拿鐵,9.165647925297504
拿手菜,9.165647925297504
招架,9.165647925297504
拍景,9.165647925297504
押金,9.165647925297504
投影幕,9.165647925297504
投影,9.165647925297504
技能,9.165647925297504
批薩,9.165647925297504
扭力,9.165647925297504
手試,9.165647925297504
搭棚,9.165647925297504
搭篷,9.165647925297504
操地,9.165647925297504
散心,9.165647925297504
斜度,9.165647925297504
文章,9.165647925297504
文山,9.165647925297504
文字,9.165647925297504
數約,9.165647925297504
數太,9.165647925297504
整濟,9.165647925297504
整段路,9.165647925297504
整圈,9.165647925297504
教室,9.165647925297504
支柱,9.165647925297504
效率,9.165647925297504
效法,9.165647925297504
政府,9.165647925297504
攻頂,9.165647925297504
收路,9.165647925297504
收款,9.165647925297504
收服,9.165647925297504
收宅,9.165647925297504
收夜,9.165647925297504
手禮,9.165647925297504
手法,9.165647925297504
手掌,9.165647925297504
往右,9.165647925297504
心會,9.165647925297504
心意,9.165647925297504
心力,9.165647925297504
德式,9.165647925297504
微酸,9.165647925297504
微差,9.165647925297504
得罪人,9.165647925297504
很讚梅后蔓,9.165647925297504
待遇,9.165647925297504
往上面,9.165647925297504
心酸,9.165647925297504
影子,9.165647925297504
形象,9.165647925297504
強波,9.165647925297504
引水道,9.165647925297504
弓箭,9.165647925297504
建物,9.165647925297504
建材,9.165647925297504
廚餘區,9.165647925297504
廁需,9.165647925297504
心確,9.165647925297504
快速道路,9.165647925297504
手把手,9.165647925297504
成人,9.165647925297504
扁平,9.165647925297504
所有物,9.165647925297504
所在位置,9.165647925297504
房宿,9.165647925297504
房子,9.165647925297504
戒指,9.165647925297504
成片,9.165647925297504
成果,9.165647925297504
成年人,9.165647925297504
感念,9.165647925297504
怪味,9.165647925297504
感心,9.165647925297504
愛雞,9.165647925297504
意境,9.165647925297504
意味,9.165647925297504
情形,9.165647925297504
情境,9.165647925297504
怪風,9.165647925297504
怪罪,9.165647925297504
怪手,9.165647925297504
新人,9.165647925297504
